cement,slag,fly_ash,water,superplasticizer,course_aggregate,fine_aggregate,age,strength,,cement_2,slag_2,fly_ash_2,water_2,superplasticizer_2,course_aggregate_2,fine_aggregate_2,age_2
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,49
439,177,0,186,11.1,884.9,707.9,7,56.1,,192721,31329,0,34596,123.21,783048.01,501122.41,49
389.9,189,0,145.9,22,944.7,755.8,7,59.09,,152022.01,35721,0,21286.81,484,892458.09,571233.64,49
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,49
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,49
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,784
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,784
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,784
425,106.3,0,151.4,18.6,936,803.7,28,61.8,,180625,11299.69,0,22921.96,345.96,876096,645933.69,784
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,784
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,784
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,784
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,784
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,784
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,784
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,784
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,784
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,,104781.69,79975.84,0,33782.44,106.09,888683.29,435468.01,784
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
439,177,0,186,11.1,884.9,707.9,28,66,,192721,31329,0,34596,123.21,783048.01,501122.41,784
389.9,189,0,145.9,22,944.7,755.8,28,74.5,,152022.01,35721,0,21286.81,484,892458.09,571233.64,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,784
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,3136
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,3136
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,3136
425,106.3,0,151.4,18.6,936,803.7,56,64.9,,180625,11299.69,0,22921.96,345.96,876096,645933.69,3136
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,3136
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,3136
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,3136
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,3136
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,3136
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,3136
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,3136
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,3136
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2,,104781.69,79975.84,0,33782.44,106.09,888683.29,435468.01,3136
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
439,177,0,186,11.1,884.9,707.9,56,71.7,,192721,31329,0,34596,123.21,783048.01,501122.41,3136
389.9,189,0,145.9,22,944.7,755.8,56,79.4,,152022.01,35721,0,21286.81,484,892458.09,571233.64,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,3136
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,8281
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,8281
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,8281
425,106.3,0,151.4,18.6,936,803.7,91,66.7,,180625,11299.69,0,22921.96,345.96,876096,645933.69,8281
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,8281
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,8281
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,8281
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,8281
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,8281
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,8281
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,8281
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,8281
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
439,177,0,186,11.1,884.9,707.9,91,73.3,,192721,31329,0,34596,123.21,783048.01,501122.41,8281
389.9,189,0,145.9,22,944.7,755.8,91,82.6,,152022.01,35721,0,21286.81,484,892458.09,571233.64,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,8281
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,9
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,196
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,784
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,3136
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,10000
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,9
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,196
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,784
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,3136
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,10000
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,9
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,196
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,784
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,3136
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,10000
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,,36366.49,0,15725.16,26276.41,60.84,1188100,646416,9
190.7,0,125.4,162.1,7.8,1090,804,14,21.06,,36366.49,0,15725.16,26276.41,60.84,1188100,646416,196
190.7,0,125.4,162.1,7.8,1090,804,28,26.4,,36366.49,0,15725.16,26276.41,60.84,1188100,646416,784
190.7,0,125.4,162.1,7.8,1090,804,56,35.34,,36366.49,0,15725.16,26276.41,60.84,1188100,646416,3136
190.7,0,125.4,162.1,7.8,1090,804,100,40.57,,36366.49,0,15725.16,26276.41,60.84,1188100,646416,10000
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47,,44986.41,0,14786.56,32508.09,32.49,1118517.76,607308.49,9
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92,,44986.41,0,14786.56,32508.09,32.49,1118517.76,607308.49,196
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9,,44986.41,0,14786.56,32508.09,32.49,1118517.76,607308.49,784
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2,,44986.41,0,14786.56,32508.09,32.49,1118517.76,607308.49,3136
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61,,44986.41,0,14786.56,32508.09,32.49,1118517.76,607308.49,10000
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03,,52900,0,13994.89,38220.25,21.16,1059664.36,575473.96,9
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08,,52900,0,13994.89,38220.25,21.16,1059664.36,575473.96,196
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,,52900,0,13994.89,38220.25,21.16,1059664.36,575473.96,784
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54,,52900,0,13994.89,38220.25,21.16,1059664.36,575473.96,3136
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34,,52900,0,13994.89,38220.25,21.16,1059664.36,575473.96,10000
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45,,36214.09,0,15675.04,26211.61,98.01,1183961.61,644166.76,9
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72,,36214.09,0,15675.04,26211.61,98.01,1183961.61,644166.76,196
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,,36214.09,0,15675.04,26211.61,98.01,1183961.61,644166.76,784
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56,,36214.09,0,15675.04,26211.61,98.01,1183961.61,644166.76,3136
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39,,36214.09,0,15675.04,26211.61,98.01,1183961.61,644166.76,10000
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76,,27589.21,0,26666.89,31152.25,20.25,1120633.96,608556.01,9
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48,,27589.21,0,26666.89,31152.25,20.25,1120633.96,608556.01,196
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,,27589.21,0,26666.89,31152.25,20.25,1120633.96,608556.01,784
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63,,27589.21,0,26666.89,31152.25,20.25,1120633.96,608556.01,3136
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54,,27589.21,0,26666.89,31152.25,20.25,1120633.96,608556.01,10000
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,,28224,1772.41,26830.44,14835.24,32.49,1120845.69,608556.01,9
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,,28224,1772.41,26830.44,14835.24,32.49,1120845.69,608556.01,196
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,,28224,1772.41,26830.44,14835.24,32.49,1120845.69,608556.01,784
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,,28224,1772.41,26830.44,14835.24,32.49,1120845.69,608556.01,3136
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,,28224,1772.41,26830.44,14835.24,32.49,1120845.69,608556.01,10000
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18,,45667.69,9623.61,600.25,33014.89,47.61,1135929.64,616853.16,9
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,,45667.69,9623.61,600.25,33014.89,47.61,1135929.64,616853.16,196
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,,45667.69,9623.61,600.25,33014.89,47.61,1135929.64,616853.16,784
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,,45667.69,9623.61,600.25,33014.89,47.61,1135929.64,616853.16,3136
